year,pick,team,player,position,link
1990,44,MIL,Steve Henson,Point,https://www.basketball-reference.com//players/h/hensost01.html
1990,45,IND,Antonio Davis,Power,https://www.basketball-reference.com//players/d/davisan01.html
1990,46,IND,Kenny Williams,Small,https://www.basketball-reference.com//players/w/willike03.html
1990,47,PHI,Derek Strong,Power,https://www.basketball-reference.com//players/s/stronde01.html
1990,48,PHO,Cedric Ceballos,Small,https://www.basketball-reference.com//players/c/cebalce01.html
1990,49,DAL,Phil Henderson,Unknown,https://www.basketball-reference.com//players/h/hendeph01.html
1990,50,PHO,Miloš Babić,Power,https://www.basketball-reference.com//players/b/babicmi01.html
1990,51,LAL,Tony Smith,Shooting,https://www.basketball-reference.com//players/s/smithto02.html
1990,52,CLE,Stefano Rusconi,Power,https://www.basketball-reference.com//players/r/ruscost01.html
1990,53,SEA,Abdul Shamsid-Deen,Unknown,https://www.basketball-reference.com//players/s/shamsab01.html
1990,54,SAS,Sean Higgins,Small,https://www.basketball-reference.com//players/h/higgise01.html
1991,1,CHH,Larry Johnson,Power,https://www.basketball-reference.com//players/j/johnsla02.html
1991,2,NJN,Kenny Anderson,Point,https://www.basketball-reference.com//players/a/anderke01.html
1991,3,SAC,Billy Owens,Small,https://www.basketball-reference.com//players/o/owensbi01.html
1991,4,DEN,Dikembe Mutombo,Center,https://www.basketball-reference.com//players/m/mutomdi01.html
1991,5,MIA,Steve Smith,Shooting,https://www.basketball-reference.com//players/s/smithst01.html
1991,6,DAL,Doug Smith,Power,https://www.basketball-reference.com//players/s/smithdo03.html
1991,7,MIN,Luc Longley,Center,https://www.basketball-reference.com//players/l/longllu01.html
1991,8,DEN,Mark Macon,Shooting,https://www.basketball-reference.com//players/m/maconma01.html
1991,9,ATL,Stacey Augmon,Shooting,https://www.basketball-reference.com//players/a/augmost01.html
1991,10,ORL,Bison Dele,Center,https://www.basketball-reference.com//players/d/delebi01.html
1991,11,CLE,Terrell Brandon,Point,https://www.basketball-reference.com//players/b/brandte01.html
1991,12,NYK,Greg Anthony,Point,https://www.basketball-reference.com//players/a/anthogr01.html
