Year,Pick,Team,Player,Position
1994,52,PHO,Anthony Goldwire,Point
1994,53,HOU,Albert Burditt,Unknown
1994,54,SEA,Željko Rebrača,Center
1995,1,GSW,Joe Smith,Power
1995,2,LAC,Antonio McDyess,Power
1995,3,PHI,Jerry Stackhouse,Shooting
1995,4,WSB,Rasheed Wallace,Power
1995,5,MIN,Kevin Garnett,Power
1995,6,VAN,Bryant Reeves,Center
1995,7,TOR,Damon Stoudamire,Point
1995,8,POR,Shawn Respert,Shooting
1995,9,NJN,Ed O'Bannon,Small
1995,10,MIA,Kurt Thomas,Power
1995,11,MIL,Gary Trent,Power
1995,12,DAL,Cherokee Parks,Center
1995,13,SAC,Corliss Williamson,Small
1995,14,BOS,Eric Williams,Small
1995,15,DEN,Brent Barry,Shooting
1995,16,ATL,Alan Henderson,Power
1995,17,CLE,Bob Sura,Shooting
1995,18,DET,Theo Ratliff,Center
1995,19,DET,Randolph Childress,Point
1995,20,CHI,Jason Caffey,Power
1995,21,PHO,Michael Finley,Small
1995,22,CHH,George Zídek,Center
1995,23,IND,Travis Best,Point
1995,24,DAL,Loren Meyer,Power
1995,25,ORL,David Vaughn,Power
1995,26,SEA,Sherell Ford,Small
1995,27,PHO,Mario Bennett,Power
1995,28,UTA,Greg Ostertag,Center
1995,29,SAS,Cory Alexander,Point
1995,30,DET,Lou Roe,Small
1995,31,CHI,Dragan Tarlać,Center
1995,32,WSB,Terrence Rencher,Point
1995,33,BOS,Junior Burrough,Power
1995,34,GSW,Andrew DeClercq,Center
1995,35,TOR,Jimmy King,Shooting
1995,36,VAN,Lawrence Moten,Shooting
1995,37,LAL,Frankie King,Shooting
1995,38,MIL,Rashard Griffith,Unknown
1995,39,CLE,Donny Marshall,Small
1995,40,GSW,Dwayne Whitfield,Power
1995,41,HOU,Erik Meek,Unknown
1995,42,ATL,Donnie Boyce,Shooting
1995,43,MIL,Eric Snow,Point
1995,44,DEN,Anthony Pelle,Unknown
1995,45,ATL,Troy Brown,Unknown
1995,46,MIA,George Banks,Unknown
1995,47,SAC,Tyus Edney,Point
1995,48,MIN,Mark Davis,Small
